logon,AJR0932,PC-4748,Logoff,09/18/2010 02:02:51
http,AJR0932,PC-4748,http://autotrader.com/July_2009_rmqi_riots/uyghur/qngnonfr698395983.asp,09/18/2010 01:22:50
http,AJR0932,PC-4748,http://autotrader.com/July_2009_rmqi_riots/uyghur/qngnonfr698395983.asp,09/18/2010 01:22:52
http,AJR0932,PC-4748,http://wordpress.com/Karl_Aloys_zu_Frstenberg/frstenberg/qngnonfrovyyvneqfrdhvczragsbbgonyyunyybssnzr1875885517.php,09/18/2010 01:23:25
http,AJR0932,PC-4748,http://icontact.com/Hell_Is_Other_Robots/robotology/qngnonfrfxvvatfnsrgl2086399572.jsp,09/18/2010 01:23:37
http,AJR0932,PC-4748,http://craigslist.org/Eremoryzomys/eremoryzomys/jnyxvatfubrfqngnonfr285499236.htm,09/18/2010 01:23:55
http,AJR0932,PC-4748,http://edmunds.com/RomanPersian_Wars/parthian/qngnonfrpbbxvat1195322042.jsp,09/18/2010 01:24:19
http,AJR0932,PC-4748,http://icontact.com/Hell_Is_Other_Robots/robotology/qngnonfrfxvvatfnsrgl2086399572.jsp,09/18/2010 01:24:48
http,AJR0932,PC-4748,http://drudgereport.com/1928_Okeechobee_hurricane/mayaca/qngnonfrcynlvatzhfvpvafgehpgvbaobjyvatonyyoyhrpbyyne201600104.asp,09/18/2010 01:24:53
http,AJR0932,PC-4748,http://edmunds.com/RomanPersian_Wars/parthian/qngnonfrpbbxvat1195322042.jsp,09/18/2010 01:24:58
http,AJR0932,PC-4748,http://edmunds.com/RomanPersian_Wars/parthian/qngnonfrpbbxvat1195322042.jsp,09/18/2010 01:25:26
http,AJR0932,PC-4748,http://edmunds.com/RomanPersian_Wars/parthian/qngnonfrpbbxvat1195322042.jsp,09/18/2010 01:25:47
http,AJR0932,PC-4748,http://icontact.com/Hell_Is_Other_Robots/robotology/qngnonfrfxvvatfnsrgl2086399572.jsp,09/18/2010 01:25:49
http,AJR0932,PC-4748,http://craigslist.org/Eremoryzomys/eremoryzomys/jnyxvatfubrfqngnonfr285499236.htm,09/18/2010 01:25:49
http,AJR0932,PC-4748,http://icontact.com/Hell_Is_Other_Robots/robotology/qngnonfrfxvvatfnsrgl2086399572.jsp,09/18/2010 01:25:52
http,AJR0932,PC-4748,http://edmunds.com/RomanPersian_Wars/parthian/qngnonfrpbbxvat1195322042.jsp,09/18/2010 01:26:32
http,AJR0932,PC-4748,http://edmunds.com/RomanPersian_Wars/parthian/qngnonfrpbbxvat1195322042.jsp,09/18/2010 01:26:40
http,AJR0932,PC-4748,http://autotrader.com/July_2009_rmqi_riots/uyghur/qngnonfr698395983.asp,09/18/2010 01:26:51
http,AJR0932,PC-4748,http://icontact.com/Hell_Is_Other_Robots/robotology/qngnonfrfxvvatfnsrgl2086399572.jsp,09/18/2010 01:26:59
http,AJR0932,PC-4748,http://icontact.com/Hell_Is_Other_Robots/robotology/qngnonfrfxvvatfnsrgl2086399572.jsp,09/18/2010 01:27:17
http,AJR0932,PC-4748,http://icontact.com/Hell_Is_Other_Robots/robotology/qngnonfrfxvvatfnsrgl2086399572.jsp,09/18/2010 01:27:35
http,AJR0932,PC-4748,http://deviantart.com/Silky_sifaka/marojejy/fpvffbefqngnonfrobneqbsqverpgbef800564325.htm,09/18/2010 01:27:37
http,AJR0932,PC-4748,http://wordpress.com/Karl_Aloys_zu_Frstenberg/frstenberg/qngnonfrovyyvneqfrdhvczragsbbgonyyunyybssnzr1875885517.php,09/18/2010 01:27:59
http,AJR0932,PC-4748,http://wordpress.com/Karl_Aloys_zu_Frstenberg/frstenberg/qngnonfrovyyvneqfrdhvczragsbbgonyyunyybssnzr1875885517.php,09/18/2010 01:28:08
http,AJR0932,PC-4748,http://autotrader.com/July_2009_rmqi_riots/uyghur/qngnonfr698395983.asp,09/18/2010 01:28:11
http,AJR0932,PC-4748,http://icontact.com/Hell_Is_Other_Robots/robotology/qngnonfrfxvvatfnsrgl2086399572.jsp,09/18/2010 01:28:22
http,AJR0932,PC-4748,http://icontact.com/Hell_Is_Other_Robots/robotology/qngnonfrfxvvatfnsrgl2086399572.jsp,09/18/2010 01:28:28
http,AJR0932,PC-4748,http://edmunds.com/RomanPersian_Wars/parthian/qngnonfrpbbxvat1195322042.jsp,09/18/2010 01:28:30
http,AJR0932,PC-4748,http://edmunds.com/RomanPersian_Wars/parthian/qngnonfrpbbxvat1195322042.jsp,09/18/2010 01:28:32
http,AJR0932,PC-4748,http://edmunds.com/RomanPersian_Wars/parthian/qngnonfrpbbxvat1195322042.jsp,09/18/2010 01:28:44
http,AJR0932,PC-4748,http://icontact.com/Hell_Is_Other_Robots/robotology/qngnonfrfxvvatfnsrgl2086399572.jsp,09/18/2010 01:28:45
http,AJR0932,PC-4748,http://icontact.com/Hell_Is_Other_Robots/robotology/qngnonfrfxvvatfnsrgl2086399572.jsp,09/18/2010 01:28:48
http,AJR0932,PC-4748,http://icontact.com/Hell_Is_Other_Robots/robotology/qngnonfrfxvvatfnsrgl2086399572.jsp,09/18/2010 01:29:16
http,AJR0932,PC-4748,http://icontact.com/Hell_Is_Other_Robots/robotology/qngnonfrfxvvatfnsrgl2086399572.jsp,09/18/2010 01:29:21
http,AJR0932,PC-4748,http://edmunds.com/RomanPersian_Wars/parthian/qngnonfrpbbxvat1195322042.jsp,09/18/2010 01:29:28
http,AJR0932,PC-4748,http://icontact.com/Hell_Is_Other_Robots/robotology/qngnonfrfxvvatfnsrgl2086399572.jsp,09/18/2010 01:29:31
http,AJR0932,PC-4748,http://drudgereport.com/1928_Okeechobee_hurricane/mayaca/qngnonfrcynlvatzhfvpvafgehpgvbaobjyvatonyyoyhrpbyyne201600104.asp,09/18/2010 01:29:44
http,AJR0932,PC-4748,http://icontact.com/Hell_Is_Other_Robots/robotology/qngnonfrfxvvatfnsrgl2086399572.jsp,09/18/2010 01:29:47
http,AJR0932,PC-4748,http://edmunds.com/RomanPersian_Wars/parthian/qngnonfrpbbxvat1195322042.jsp,09/18/2010 01:30:01
http,AJR0932,PC-4748,http://icontact.com/Hell_Is_Other_Robots/robotology/qngnonfrfxvvatfnsrgl2086399572.jsp,09/18/2010 01:30:14
http,AJR0932,PC-4748,http://icontact.com/Hell_Is_Other_Robots/robotology/qngnonfrfxvvatfnsrgl2086399572.jsp,09/18/2010 01:30:17
http,AJR0932,PC-4748,http://edmunds.com/RomanPersian_Wars/parthian/qngnonfrpbbxvat1195322042.jsp,09/18/2010 01:30:19
http,AJR0932,PC-4748,http://edmunds.com/RomanPersian_Wars/parthian/qngnonfrpbbxvat1195322042.jsp,09/18/2010 01:30:24
http,AJR0932,PC-4748,http://icontact.com/Hell_Is_Other_Robots/robotology/qngnonfrfxvvatfnsrgl2086399572.jsp,09/18/2010 01:30:44
http,AJR0932,PC-4748,http://icontact.com/Hell_Is_Other_Robots/robotology/qngnonfrfxvvatfnsrgl2086399572.jsp,09/18/2010 01:31:31
http,AJR0932,PC-4748,http://edmunds.com/RomanPersian_Wars/parthian/qngnonfrpbbxvat1195322042.jsp,09/18/2010 01:31:35
http,AJR0932,PC-4748,http://craigslist.org/Eremoryzomys/eremoryzomys/jnyxvatfubrfqngnonfr285499236.htm,09/18/2010 01:32:10
http,AJR0932,PC-4748,http://edmunds.com/RomanPersian_Wars/parthian/qngnonfrpbbxvat1195322042.jsp,09/18/2010 01:32:16
http,AJR0932,PC-4748,http://autotrader.com/July_2009_rmqi_riots/uyghur/qngnonfr698395983.asp,09/18/2010 01:32:56
http,AJR0932,PC-4748,http://edmunds.com/RomanPersian_Wars/parthian/qngnonfrpbbxvat1195322042.jsp,09/18/2010 01:32:58
http,AJR0932,PC-4748,http://wordpress.com/Karl_Aloys_zu_Frstenberg/frstenberg/qngnonfrovyyvneqfrdhvczragsbbgonyyunyybssnzr1875885517.php,09/18/2010 01:33:30
http,AJR0932,PC-4748,http://edmunds.com/RomanPersian_Wars/parthian/qngnonfrpbbxvat1195322042.jsp,09/18/2010 01:34:00
http,AJR0932,PC-4748,http://icontact.com/Hell_Is_Other_Robots/robotology/qngnonfrfxvvatfnsrgl2086399572.jsp,09/18/2010 01:34:08
http,AJR0932,PC-4748,http://icontact.com/Hell_Is_Other_Robots/robotology/qngnonfrfxvvatfnsrgl2086399572.jsp,09/18/2010 01:34:17
http,AJR0932,PC-4748,http://edmunds.com/RomanPersian_Wars/parthian/qngnonfrpbbxvat1195322042.jsp,09/18/2010 01:34:25
http,AJR0932,PC-4748,http://autotrader.com/July_2009_rmqi_riots/uyghur/qngnonfr698395983.asp,09/18/2010 01:34:28
http,AJR0932,PC-4748,http://autotrader.com/July_2009_rmqi_riots/uyghur/qngnonfr698395983.asp,09/18/2010 01:34:42
http,AJR0932,PC-4748,http://edmunds.com/RomanPersian_Wars/parthian/qngnonfrpbbxvat1195322042.jsp,09/18/2010 01:34:42
http,AJR0932,PC-4748,http://edmunds.com/RomanPersian_Wars/parthian/qngnonfrpbbxvat1195322042.jsp,09/18/2010 01:35:01
http,AJR0932,PC-4748,http://wordpress.com/Karl_Aloys_zu_Frstenberg/frstenberg/qngnonfrovyyvneqfrdhvczragsbbgonyyunyybssnzr1875885517.php,09/18/2010 01:35:04
http,AJR0932,PC-4748,http://edmunds.com/RomanPersian_Wars/parthian/qngnonfrpbbxvat1195322042.jsp,09/18/2010 01:35:17
http,AJR0932,PC-4748,http://drudgereport.com/1928_Okeechobee_hurricane/mayaca/qngnonfrcynlvatzhfvpvafgehpgvbaobjyvatonyyoyhrpbyyne201600104.asp,09/18/2010 01:35:18
http,AJR0932,PC-4748,http://wordpress.com/Karl_Aloys_zu_Frstenberg/frstenberg/qngnonfrovyyvneqfrdhvczragsbbgonyyunyybssnzr1875885517.php,09/18/2010 01:35:33
http,AJR0932,PC-4748,http://autotrader.com/July_2009_rmqi_riots/uyghur/qngnonfr698395983.asp,09/18/2010 01:35:34
http,AJR0932,PC-4748,http://autotrader.com/July_2009_rmqi_riots/uyghur/qngnonfr698395983.asp,09/18/2010 01:35:38
http,AJR0932,PC-4748,http://etsy.com/Climate_of_India/mawsynram/ercbegfnffrgfgryrznexrgvatqngnonfr1992030467.php,09/18/2010 01:35:59
http,AJR0932,PC-4748,http://wordpress.com/Karl_Aloys_zu_Frstenberg/frstenberg/qngnonfrovyyvneqfrdhvczragsbbgonyyunyybssnzr1875885517.php,09/18/2010 01:36:12
http,AJR0932,PC-4748,http://edmunds.com/RomanPersian_Wars/parthian/qngnonfrpbbxvat1195322042.jsp,09/18/2010 01:37:17
http,AJR0932,PC-4748,http://edmunds.com/RomanPersian_Wars/parthian/qngnonfrpbbxvat1195322042.jsp,09/18/2010 01:37:33
http,AJR0932,PC-4748,http://icontact.com/Hell_Is_Other_Robots/robotology/qngnonfrfxvvatfnsrgl2086399572.jsp,09/18/2010 01:37:45
http,AJR0932,PC-4748,http://edmunds.com/RomanPersian_Wars/parthian/qngnonfrpbbxvat1195322042.jsp,09/18/2010 01:38:02
http,AJR0932,PC-4748,http://craigslist.org/Eremoryzomys/eremoryzomys/jnyxvatfubrfqngnonfr285499236.htm,09/18/2010 01:38:04
http,AJR0932,PC-4748,http://craigslist.org/Eremoryzomys/eremoryzomys/jnyxvatfubrfqngnonfr285499236.htm,09/18/2010 01:38:48
http,AJR0932,PC-4748,http://icontact.com/Hell_Is_Other_Robots/robotology/qngnonfrfxvvatfnsrgl2086399572.jsp,09/18/2010 01:41:00
http,AJR0932,PC-4748,http://edmunds.com/RomanPersian_Wars/parthian/qngnonfrpbbxvat1195322042.jsp,09/18/2010 01:45:24
http,AJR0932,PC-4748,http://icontact.com/Hell_Is_Other_Robots/robotology/qngnonfrfxvvatfnsrgl2086399572.jsp,09/18/2010 01:49:40
device,AJR0932,PC-4748,Connect,09/18/2010 00:20:18
device,AJR0932,PC-4748,Disconnect,09/18/2010 00:56:46
